"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\App.css", "CSS", 33, 0, 0, 6, 39
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\App.js", "JavaScript", 0, 32, 1, 9, 42
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\components\Comment.js", "JavaScript", 0, 56, 1, 10, 67
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\components\Footer.js", "JavaScript", 0, 25, 1, 8, 34
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\components\Header.js", "JavaScript", 0, 66, 1, 7, 74
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\index.css", "CSS", 3, 0, 0, 0, 3
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\index.js", "JavaScript", 0, 11, 0, 6, 17
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\EditProfile.js", "JavaScript", 0, 217, 3, 24, 244
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\Home.js", "JavaScript", 0, 97, 3, 19, 119
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\Login.js", "JavaScript", 0, 120, 3, 16, 139
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\NotFound.js", "JavaScript", 0, 28, 7, 3, 38
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\Profile.js", "JavaScript", 0, 265, 7, 37, 309
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\SharePost.js", "JavaScript", 0, 105, 1, 20, 126
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\SignUp.js", "JavaScript", 0, 203, 5, 32, 240
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\ViewPostDetails.js", "JavaScript", 0, 187, 1, 32, 220
"c:\Users\oztur\OneDrive\Masaüstü\Projeler\blog-app-main\frontend\src\pages\ViewProfile.js", "JavaScript", 0, 219, 5, 40, 264
"Total", "-", 36, 1631, 39, 269, 1975
